Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Record_ID
1,30-01-2020,6:00 PM,Kerala,1,0,0,0,1,37703ae6
2,31-01-2020,6:00 PM,Kerala,1,0,0,0,1,906eb93a
3,01-02-2020,6:00 PM,Kerala,2,0,0,0,2,004f7059
4,02-02-2020,6:00 PM,Kerala,3,0,0,0,3,6fdedf64
5,03-02-2020,6:00 PM,Kerala,3,0,0,0,3,61f8987a
6,04-02-2020,6:00 PM,Kerala,3,0,0,0,3,09a8c6fe
7,05-02-2020,6:00 PM,Kerala,3,0,0,0,3,e0360bfb
8,06-02-2020,6:00 PM,Kerala,3,0,0,0,3,47710b5f
9,07-02-2020,6:00 PM,Kerala,3,0,0,0,3,bfa33c36
10,08-02-2020,6:00 PM,Kerala,3,0,0,0,3,4d80e00e
11,09-02-2020,6:00 PM,Kerala,3,0,0,0,3,9d79c82e
12,10-02-2020,6:00 PM,Kerala,3,0,0,0,3,7ab36951
13,11-02-2020,6:00 PM,Kerala,3,0,0,0,3,2aad24a5
14,12-02-2020,6:00 PM,Kerala,3,0,0,0,3,9afee32c
15,13-02-2020,6:00 PM,Kerala,3,0,0,0,3,b718a9ec
16,14-02-2020,6:00 PM,Kerala,3,0,0,0,3,6cc75c81
17,15-02-2020,6:00 PM,Kerala,3,0,0,0,3,76132d63
18,16-02-2020,6:00 PM,Kerala,3,0,0,0,3,874c0982
19,17-02-2020,6:00 PM,Kerala,3,0,0,0,3,cac64af9
20,18-02-2020,6:00 PM,Kerala,3,0,0,0,3,c3e76c74
21,19-02-2020,6:00 PM,Kerala,3,0,0,0,3,0b5c53c5
22,20-02-2020,6:00 PM,Kerala,3,0,0,0,3,a0a05223
23,21-02-2020,6:00 PM,Kerala,3,0,0,0,3,70c7d9e8
24,22-02-2020,6:00 PM,Kerala,3,0,0,0,3,5755e6ef
25,23-02-2020,6:00 PM,Kerala,3,0,0,0,3,29c6e0ab
26,24-02-2020,6:00 PM,Kerala,3,0,0,0,3,03de1d8d
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3,c02d269e
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3,56dadc25
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3,ece2ef70
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3,412fac31
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3,84c7310c
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3,b59562a9
33,02-03-2020,6:00 PM,Telengana,1,0,0,0,1,811abaf3
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3,a3025270
35,02-03-2020,6:00 PM,Delhi,1,0,0,0,1,ece4d067
36,03-03-2020,6:00 PM,Telengana,1,0,0,0,1,29089d48
37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1,11710abd
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3,dd5e6847
39,03-03-2020,6:00 PM,Delhi,1,0,0,0,1,85cd89d1
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,51ffb8bc
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3,d8f66769
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2,becc258c
43,04-03-2020,6:00 PM,Delhi,1,0,0,0,1,26a0f93f
44,04-03-2020,6:00 PM,Telengana,1,0,0,0,1,59a33bb4
45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,fff06076
46,05-03-2020,6:00 PM,Delhi,2,0,0,0,2,a98b0cda
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2,f56e5c35
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3,7d3c8c13
49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2883cf04
50,05-03-2020,6:00 PM,Telengana,1,0,0,0,1,2d4f9c47
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,481ba63f
52,06-03-2020,6:00 PM,Delhi,3,0,0,0,3,599d2969
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2,8615914b
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3,8dc3f4d3
55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,f54c5882
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,aff12e9b
57,06-03-2020,6:00 PM,Telengana,1,0,0,0,1,2186a2ff
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3,abce7e48
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,8386beaf
60,07-03-2020,6:00 PM,Ladakh,2,0,0,0,2,5bdbf5fc
61,07-03-2020,6:00 PM,Telengana,1,0,0,0,1,7e5d0c05
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,749294db
63,07-03-2020,6:00 PM,Delhi,3,0,0,0,3,69ad1ca3
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2,f0b66c10
65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,119dc7cf
66,08-03-2020,6:00 PM,Ladakh,2,0,0,0,2,f155b715
67,08-03-2020,6:00 PM,Telengana,1,0,0,0,1,93eef046
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,ca6e5f83
69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,e85ed59b
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8,998b3789
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2,5673e26a
72,08-03-2020,6:00 PM,Delhi,3,0,0,0,3,42431920
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,7f485eea
74,09-03-2020,6:00 PM,Ladakh,2,0,0,0,2,50da0482
75,09-03-2020,6:00 PM,Karnataka,1,0,0,0,1,f30437ff
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9,160d3bcd
77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,c9bb6d5b
78,09-03-2020,6:00 PM,Punjab,1,0,0,0,1,fdc4c601
79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,549c07fc
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,e69fbc66
81,09-03-2020,6:00 PM,Telengana,1,0,0,0,1,6ef176ab
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,f2d39f7f
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,f88037b9
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2,368eacc9
85,09-03-2020,6:00 PM,Delhi,4,0,0,0,4,775d2957
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,e4f122ae
87,10-03-2020,6:00 PM,Ladakh,2,0,0,0,2,600fc848
88,10-03-2020,6:00 PM,Delhi,4,0,0,0,4,effb8035
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2,9f9678da
90,10-03-2020,6:00 PM,Karnataka,4,0,0,0,4,d88635ed
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15,6a7e4904
92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5,5e68250a
93,10-03-2020,6:00 PM,Punjab,1,0,0,0,1,8dbfca02
94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,f4828de8
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,fd9a6b5f
96,10-03-2020,6:00 PM,Telengana,1,0,0,0,1,d03aae28
97,10-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,17cebf5a
98,11-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,4.74E+06
99,11-03-2020,6:00 PM,Delhi,5,0,0,0,5,6.89E+59
100,11-03-2020,6:00 PM,Haryana,0,14,0,0,14,2080f24f
